TERM_ID,category,currentText,screenOrFeature,sourceFile,sourceKeyOrFunction,triggerCondition,notes
ST3_0001,Other,Ты,general_interface,AsyncScene/Web/conflict-old.js,me,static_string,line=21
ST3_0002,Other,Кто-то,general_interface,AsyncScene/Web/conflict-old.js,n,static_string,line=56
ST3_0003,Other,Твои аргументы стали сильными.,dm_ui,AsyncScene/Web/conflict-old.js,me,static_string,line=59
ST3_0004,Other,Аргументы ${n} стали сильными.,dm_ui,AsyncScene/Web/conflict-old.js,all,dynamic_template,variables=n; line=60
ST3_0005,Other,Твои аргументы стали мощными.,dm_ui,AsyncScene/Web/conflict-old.js,me,static_string,line=65
ST3_0006,Other,Аргументы ${n} стали мощными.,dm_ui,AsyncScene/Web/conflict-old.js,all,dynamic_template,variables=n; line=66
ST3_0007,Other,Твои аргументы стали супермощными.,dm_ui,AsyncScene/Web/conflict-old.js,me,static_string,line=71
ST3_0008,Other,Аргументы ${n} стали супермощными.,dm_ui,AsyncScene/Web/conflict-old.js,all,dynamic_template,variables=n; line=72
ST3_0009,Other,да/нет,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=126
ST3_0010,Other,да-нет,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=126
ST3_0011,Other,кто,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=128
ST3_0012,Other,что,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=128
ST3_0013,Other,где,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=130
ST3_0014,Other,мест,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=130
ST3_0015,Other,куда,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=130
ST3_0016,Other,Да.,general_interface,AsyncScene/Web/conflict-old.js,text,static_string,line=263
ST3_0017,Other,Да?,general_interface,AsyncScene/Web/conflict-old.js,id,static_string,line=270
ST3_0018,Other,"Да, думаю так.",general_interface,AsyncScene/Web/conflict-old.js,id,static_string,line=274
ST3_0019,Other,"Ты отшил(а) ${opp ? opp.name : ""кого-то""}.",general_interface,AsyncScene/Web/conflict-old.js,uiCall,dynamic_template,"variables=opp ? opp.name : ""кого-то""; line=483"
ST3_0020,ResourceName,Не хватает 💰.,"economy_toasts,disabled_states",AsyncScene/Web/conflict-old.js,if,static_string,line=489
ST3_0021,Other,"Ты смылся(ась) от ${opp ? opp.name : ""кого-то""}.",general_interface,AsyncScene/Web/conflict-old.js,uiCall,dynamic_template,"variables=opp ? opp.name : ""кого-то""; line=495"
ST3_0022,Other,Ты отшил(а) всех активных. Площадь выдохнула.,chat_ui,AsyncScene/Web/conflict-old.js,uiCall,static_string,line=510
ST3_0023,ResourceName,"Не хватает 💰, чтобы смыться от всех активных.","economy_toasts,disabled_states",AsyncScene/Web/conflict-old.js,uiCall,static_string,line=516
ST3_0024,ResourceName,Ты смылся(ась) от всех активных за ${count} 💰. Чисто.,economy_toasts,AsyncScene/Web/conflict-old.js,uiCall,dynamic_template,variables=count; line=522
ST3_0025,Other,Тебя обнесли в ноль.,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=549
ST3_0026,ResourceName,С тебя дернули 3 💰.,economy_toasts,AsyncScene/Web/conflict-old.js,clamp0,static_string,line=552
ST3_0027,Other,Ждем ответку...,general_interface,AsyncScene/Web/conflict-old.js,hideAttackColor,static_string,line=564
ST3_0028,Other,${me.name} забрал(а) раунд.,general_interface,AsyncScene/Web/conflict-old.js,if,dynamic_template,variables=me.name; line=660
ST3_0029,Other,"${opp ? opp.name : ""Кто-то""} забрал(а) раунд.",general_interface,AsyncScene/Web/conflict-old.js,name,dynamic_template,"variables=opp ? opp.name : ""Кто-то""; line=664"
ST3_0030,Other,Тебя обнесли в ноль.,general_interface,AsyncScene/Web/conflict-old.js,if,static_string,line=683
ST3_0031,ResourceName,С тебя дернули 3 💰.,economy_toasts,AsyncScene/Web/conflict-old.js,clamp0,static_string,line=693
ST3_0032,Other,${me.name} забрал(а) раунд.,general_interface,AsyncScene/Web/conflict-old.js,if,dynamic_template,variables=me.name; line=716
ST3_0033,Other,${opp.name} забрал(а) раунд.,result_cards,AsyncScene/Web/conflict-old.js,winForMe,dynamic_template,variables=opp.name; line=721
ST3_0034,ResultCard,Ничья. Площадь решает.,chat_ui,AsyncScene/Web/conflict-old.js,literal_at_line,static_string,line=731
ST3_0035,Other,${me.name} забрал(а) раунд.,general_interface,AsyncScene/Web/conflict-old.js,if,dynamic_template,variables=me.name; line=748
